ID,Name,Password,Email,Avatar,Role
1,Khoi,password,khoi@gmail.com,Khoi.jpg,leader
2,Truc,password,truc@gmail.com,Truc.jpg,admin
3,Anh,password,anh@gmail.com,Anh.jpg,leader
4,Tien,password,tien@gmail.com,Tien.jpg,user
5,Hanh,password,hanh@gmail.com,Hanh.jpg,user
6,Alton,password,alton@gmail.com,Alton.jpg,leader
7,Viet,password,viet@gmail.com,Viet.jpg,user
8,Thanh,password,thanh@gmail.com,Thanh.jpg,user
9,Vinay,password,vinay@gmail.com,Vinay.jpg,user
10,Tri,password,tri@gmail.com,Tri.jpg,user
11,Lam,password,lam@gmail.com,Lam.jpg,user
12,Anthony,password,anthony@gmail.com,Anthony.jpg,user
13,Truong,password,truong@gmail.com,Truong.jpg,user
